Toolset,Description,url,toolbox,toolset_names,toolset_urls,toolset_desc,toolbox_desc
From Raster,"With the tools in the From Raster toolset, you can convert the information in a raster dataset to a different type of data structure, such as a feature class, or to a different type of file, such as a binary or text file.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-from-raster-toolset.htm,Conversion toolbox,NA,NA,NA,NA
From WFS,This toolset provides a tool to convert the features from WFS into a feature class to provide more functionality for those features.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-from-wfs-toolset.htm,Conversion toolbox,NA,NA,NA,NA
GPS,The GPS toolset contains tools to convert  between GPS Exchange Format (GPX) and feature classes.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-from-gps-toolset.htm,Conversion toolbox,NA,NA,NA,NA
JSON,"The JSON toolset contains tools to convert features between JSON (JavaScript Object Notation) or GeoJSON and feature classes. JSON and GeoJSON are text-based, lightweight interchange data formats that are used to share GIS data between ArcGIS and other systems. 
These formats are language-agnostic, and most programming languages—such as Python, C#, Java, JavaScript, and so on—provide libraries to read, manipulate, and write JSON and GeoJSON.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-json-toolset.htm,Conversion toolbox,NA,NA,NA,NA
KML,The KML toolset contains tools to convert from Keyhole Markup Language (KML) to features in a geodatabase.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-kml-toolset.htm,Conversion toolbox,NA,NA,NA,NA
LAS,"The 
 LAS file format was designed to store discrete returns from lidar surveys in an efficient binary data structure, but over time, it has also been used to store point clouds from sources other than lidar. LAS files can be converted between different LAS file versions, point record formats, and compression types. It can also be exported to a raster to generate a surface model or an image from either the lidar intensity or the red-green-blue values associated with each point.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-las-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To CAD,Tools in the To CAD toolset convert geodatabase features to native CAD formats. You can use these tools in geoprocessing models and scripts to define your own conversion procedures.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-cad-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To Collada,"COLLADA—which stands for COLLAborative Design Activity—is an open-standard XML format for storing 3D models. It is often used as an interchange format for 3D applications, and is the format for 3D textured objects stored inside KML. COLLADA files have the .dae file extension and can reference additional image files that act as textures draped onto the 3D object. Exporting multipatch features to COLLADA allows the sharing of complex analysis results with others and also provides a mechanism for updating textured 3D GIS data, such as buildings, using third-party software like SketchUp or 3DS Max.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-collada-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To dBASE,dBASE tables are used to store attributes that can be joined to shapefile features by an attribute key. The Table to dBASE tool can be used to migrate INFO tables or even other dBASE tables so that they can be used by specific shapefiles.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-dbase-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To Geodatabase,The To Geodatabase toolset contains tools to convert and write data to a geodatabase.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-geodatabase-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To GeoPackage,The To GeoPackage toolset contains a tool to convert datasets into the OGC GeoPackage format.,/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-geopackage-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To Raster,"Raster information can be stored in several data file formats that can be read by ArcGIS. With the To Raster toolset, you can convert these files into raster datasets. The toolset also contains tools that allow you to convert different types of feature information into rasters.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-raster-toolset.htm,Conversion toolbox,NA,NA,NA,NA
To Shapefile,"A shapefile is a simple, nontopological format for storing the geometric location and attribute information of geographic features. Geographic features in a shapefile can be represented by points, lines, or polygons (areas).",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-to-shapefile-toolset.htm,Conversion toolbox,NA,NA,NA,NA
Transit Feed (GTFS),"The tools  in the Transit Feed (GTFS) toolset support the conversion of General Transit Feed Specification (GTFS) datasets into feature classes and tables that can be visualized in a map, used as input for further analysis, or used to construct a network dataset. Some of the tools allow you to create or update GTFS files. GTFS is the only worldwide standardized format for public transit data. It includes the locations of transit lines and stops as well as the schedules.",/en/pro-app/2.7/tool-reference/conversion/an-overview-of-the-transit-feed-gtfs-toolset.htm,Conversion toolbox,NA,NA,NA,NA
NA,NA,NA,Crime Analysis and Safety toolbox,NA,NA,NA,NA
NA,NA,NA,Data Interoperability toolbox,NA,NA,NA,NA
3D Objects,"The 3D Objects toolset contains tools for enhancing a multipatch feature class with the capabilities of the 3D object feature layer.  The 3D object feature layer improves multipatch features by optimizing the storage of texture information and adding support for additional visualization effects, textures, and materials associated with several 3D modeling formats.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-3d-objects-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Archiving,"The Archiving toolset contains tools for managing geodatabase archiving.   Archiving in ArcGIS provides the functionality to record and access changes made to data in a geodatabase. Geodatabase archiving is the mechanism for capturing, managing, and analyzing data change.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-archiving-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Attachments,The Attachments toolset contains tools for managing geodatabase attachments.  The attachments functionality provides a powerful way to associate nongeographic data with your geographic information. With these geoprocessing tools you can more easily incorporate attachments into your workflows and automate the process of adding and removing attachments.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attachments-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Data Management toolbox,NA,NA,NA,NA
Data Comparison,The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Distributed  Geodatabase,The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Domains,Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Feature Binning,"The Feature Binning toolset contains tools for managing feature binning.
 Feature binning is an advanced visualization capability that allows users to explore and visualize large datasets. It also helps users observe patterns at macro and micro levels with simple out-of-the-box mapping options.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-binning-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Feature Class,The Feature Class toolset provides a set of tools that perform basic feature class management.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Features,"The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Fields,"The Fields toolset contains a set of tools to create and modify fields. A field is a column in a table; each field contains the values for a single attribute. Any number of fields can be included in a table. Settings can be specified for fields, such as the field type and the maximum size of the data that can be stored in it.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-fields-toolset.htm,Data Management toolbox,NA,NA,NA,NA
File Geodatabase,"To reduce storage requirements, you can compress vector file geodatabase feature classes and tables to a read-only format. Files can reduce to as little as 1/4 their original size. Once compressed, a dataset looks the same in ArcCatalog and ArcMap as when it was uncompressed. Also, apart from editing, you work with it the same way. The compressed data is a direct access format, so you do not have to uncompress it each time you access it: ArcGIS and ArcReader read it directly.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-file-geodatabase-toolset.htm,Data Management toolbox,NA,NA,NA,NA
General,"The General toolset contains tools for performing general data management operations. The toolset contains tools for combining feature classes or tables; renaming, copying, or deleting datasets; finding or deleting duplicate or identical records; and sorting records.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-general-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Generalization,Tools in the Generalization toolset can be used to aggregate or eliminate features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-generalization-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Geodatabase Administration,"The Geodatabase Administration toolset contains tools for a variety of geodatabase management tasks.    Specific geodatabase data management tools as well as geodatabase upgrade, management, and maintenance are covered by the tools in this toolset.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-geodatabase-administration-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Indexes,The Indexes toolset provides tools that create and remove indexes.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-indexes-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Joins and Relates,"Tools in the Joins and Relates toolset create a  join or a relate between a layer and a table view.  Joins made with the Add Join tool  or relates made with the Add Relate tool  are temporary and do not permanently transfer the fields between tables. If you need to preserve the join or relate between sessions, you can create a relationship using the tools in the Relationship Classes toolset.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-joins-toolset.htm,Data Management toolbox,NA,NA,NA,NA
LAS Dataset,"The LAS Dataset toolset provides tools for creating, managing, and optimizing an LAS dataset. The LAS dataset data type references collections of LAS files, making them easier to process, visualize, and analyze.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-las-dataset-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Layers and Table Views,"The Layers and Table Views toolset creates and manipulates layers, layer files, and table views.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-layers-and-table-views-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Package,"The Package toolset provides tools to consolidate,  package, and share layers (.lyr and .lyrx),  maps (.mxd and .mapx), projects (.aprx), address locators  (.loc), and geoprocessing results.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-package-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Photos,The Photos toolset contains tools for analyzing and managing digital photograph files. The toolset includes tools for creating a point feature class from geotagged photo files (photos that were captured from a GPS camera device or a smartphone) and matching photo files to features or table rows based on the time stamp of the photo.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-photos-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Projections and Transformations,"This toolset contains tools to convert geographic data from one map projection to another.  There are additional tools for transforming raster datasets, such as shift, rescale, and rotate.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-projections-and-transformations-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Raster,The Raster toolset in the Data Management toolbox provides tools that perform raster data management and raster processing. These tools allow you to work with raster dataset properties and create and process raster data.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-raster-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Relationship Classes,"Relationship classes define relationships between objects in the geodatabase. These relationships can be simple one-to-one relationships, similar to what you might create between a feature and a row in a table, or more complex one-to-many (or many-to-many) relationships between features and table rows. Some relationships specify that a given feature, row, or table is not only related to another feature but that creating, editing, or deleting one will have a specified effect on the other. These are called composite relationships, and they can be used to ensure that the links between objects in the database are maintained and up to date. Deleting a feature, such as a power pole, can trigger the deletion of other features, such as a transformer mounted on the pole or the maintenance records in a related table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-relationship-classes-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Subtypes,"One of the great advantages of using the geodatabase to store geographic data is the ability to create subtypes for your features and attributes. Subtypes provide a method of dividing your feature classes or tables into logical groupings based on an attribute value. By allowing you to work with a subset of features in a feature class, subtypes make it possible to assign consistent attributes and behavior to those subsets.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-subtypes-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Tile Cache,"The Tile Cache toolset contains tools to generate, manage, import, and export  tile caches. These tools are capable of generating tile caches from a raster dataset or a mosaic dataset on your desktop without the need for ArcGIS Server. These tile caches can then be shared as tile packages on ArcGIS Online and published as tiled map services.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-tile-cache-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Topology,The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Workspace,The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Data Management toolbox,NA,NA,NA,NA
Data Validation,"The Data Validation toolset offers tools you can use to ensure your data meets a 
product specification or other business rules in your organization. The Data Validation toolset has tools for running batch jobs on data to ensure data complies with rules your organization has defined for the data before it is considered valid.",/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-data-validation-toolset.htm#GUID-BDA43787-B885-4D04-8327-1AE9B29953B7,Data Reviewer toolbox,NA,NA,NA,NA
Result Management,"Batch job results are stored in sessions within Reviewer workspaces. 
Sessions can be organized in a number of different ways so you can see the state of your data at different points in time, or by the types of results you have found, such as sampling and feature class results.Tools in the Result Management toolset can be used to manage the sessions containing the results.",/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-result-management-toolset.htm#GUID-62F80B32-95A4-45F8-B0EE-11376216B7F1,Data Reviewer toolbox,NA,NA,NA,NA
NA,NA,NA,Defense  toolbox,NA,NA,NA,NA
NA,NA,NA,Editing toolbox,NA,NA,NA,NA
NA,NA,NA,Feature Analysis toolbox,NA,NA,NA,NA
Analyze Patterns,"The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",NA,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Data Enrichment,"The Data Enrichment
toolset contains a tool for adding attributes to existing features for visualization, regression, and prediction.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-data-enrichment-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Find Locations,"This toolset is used to identify areas that meet a number of different criteria you specify. The criteria can be based on attribute queries (for example, parcels that are vacant) and spatial queries (for example, within 1 kilometer of a river). The areas that are found can be selected from existing features (such as existing land parcels), or new features can be created where all the requirements are met.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-find-locations-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Manage Data,The Manage Data toolset contains tools used for the day-to-day management of geographic data.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-manage-data-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Summarize Data,"The Summarize Data toolset contains tools that calculate total counts, lengths, areas, and basic descriptive statistics of features and their attributes within areas or near other features.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-summarize-data-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Use Proximity,"The Use Proximity toolset contains tools for answering the spatial analysis question, What is near what?",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-use-proximity-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Utilities,The Utilities toolset contains tools that support the creation and modification of big data connections..,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-utilities-toolset.htm,GeoAnalytics Desktop toolbox,NA,NA,NA,NA
Analyze Patterns,"The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-analyze-patterns-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
Data Enrichment,"The Data Enrichment
toolset contains a tool for adding attributes to existing features for visualization, regression, and prediction.",/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-data-enrichment-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
Find Locations,"This toolset is used to identify areas that meet a number of different criteria you specify. The criteria can be based on attribute queries (for example, parcels that are vacant) and spatial queries (for example, within 1 kilometer of a river). The areas that are found can be selected from existing features (such as existing land parcels), or new features can be created where all the requirements are met.",/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-find-locations-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
Manage Data,The Manage Data toolset contains tools used for the day-to-day management of geographic data.,/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-manage-data-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
Summarize Data,"The Summarize Data toolset contains tools that calculate total counts, lengths, areas, and basic descriptive statistics of features and their attributes within areas or near other features.",/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-summarize-data-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
Use Proximity,"The Use Proximity toolset contains tools for answering the spatial analysis question, What is near what?",/en/pro-app/2.7/tool-reference/big-data-analytics/an-overview-of-the-use-proximity-toolset.htm,GeoAnalytics Server toolbox,NA,NA,NA,NA
NA,NA,NA,Geocoding toolbox,NA,NA,NA,NA
NA,NA,NA,Geostatistical Analyst toolbox,NA,NA,NA,NA
Change Detection,The Change Detection toolset contains a tool that performs change detection between two raster datasets.,/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-change-detection-toolset-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Deep Learning,The Deep Learning toolset contains tools to detect specific features in an image or to classify pixels in a raster dataset.,/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-deep-learning-toolset-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Extraction,The Extraction toolset allows you to extract a subset of pixels from a raster by the pixels' attributes or their spatial location.,/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-extraction-toolset-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Map Algebra,"Map Algebra is a way to perform spatial analysis by creating expressions in an algebraic language.  With the Raster Calculator tool, you can easily create and run Map Algebra expressions that output a raster dataset.",/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-map-algebra-toolset-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Math,"The Math toolset contains tools that perform mathematical operations on rasters.The tools are grouped into four main categories:
MathThe tools at the top level of the math toolset perform basic mathematical operations on rasters in the following categories: Arithmetic, Power, Exponential, and Logarithmic. Also included are tools that alter the sign of the raster values, as well as those involved in converting the values between integer and floating point.ConditionalThe Conditional math toolset allows you to control the output values based on the conditions placed on the input values.LogicalThe Logical math toolset contains tools for performing logical evaluations on rasters in the following categories: Bitwise, Boolean, Combinatorial, Relational, and Conditional.TrigonometricThe Trigonometric math toolset contains tools for trigonometric calculations in several categories: Regular, Inverse, Hyperbolic, and Inverse Hyperbolic.",/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-math-tools-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Motion Imagery,"The Motion Imagery toolset contains tools for managing, processing, and analyzing motion imagery, including full motion video data.",/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-motion-imagery-tools-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Multidimensional Analysis,"The tools in the Multidimensional Analysis toolset allow you to perform analysis   
on scientific data across multiple variables and dimensions.",/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-multidimensional-analysis-toolset-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Overlay,With the Overlay analysis toolset you can weight and overlay several rasters to create a single summary raster result.,/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-overlay-tools-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Segmentation and Classification,"With the segmentation and classification tools, you can prepare segmented rasters to use in creating classified raster datasets.",/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-segmentation-and-classification-tools-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
Statistical,The statistical tools perform statistical operations on raster data.,/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-statistical-tools-in-image-analyst.htm,Image Analyst toolbox,NA,NA,NA,NA
NA,NA,NA,Indoors toolbox,NA,NA,NA,NA
Analysis,The Analysis toolset contains tools that conduct analysis in an intelligence context.,/en/pro-app/2.7/tool-reference/intelligence/an-overview-of-the-analysis-toolset.htm,Intelligence toolbox,NA,NA,NA,NA
Conversion,"The 
Conversion toolset contains tools that convert different types of intelligence source data.",/en/pro-app/2.7/tool-reference/intelligence/an-overview-of-the-conversion-toolset.htm,Intelligence toolbox,NA,NA,NA,NA
